topology,p_replicas,d_replicas,rr,il,ol,completed,duration_s,request_throughput,output_throughput_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2e_latency_ms,p99_e2e_latency_ms
4P1D,4,1,1,8192,4096,200,1286.0937271806827,0.15550966136692937,633.7835126424548,419447.17764029425,942514.5834198579,63.7736475857936,69.98019374997882,680600.2645041188,1109282.0901860339
4P1D,4,1,1,16384,1024,200,793.0633306088167,0.25218666943844764,256.94921469079276,269588.0551538176,561101.0983148885,89.94707641414065,121.48771170027928,361603.9143254835,611604.1218238028
4P1D,4,1,1,16384,4096,200,2379.773992255362,0.08404159413913746,342.51361795390824,966619.9660388915,1994778.1293720847,68.12968210724672,76.0834722007501,1245611.0142680667,2201475.424027622
4P1D,4,1,8,1024,1024,200,94.4165379020167,2.118272968317853,2158.2765533245356,19582.933326509206,54847.97204835507,24.806042608926717,25.944239486893846,44959.514915441236,70044.459325216
4P1D,4,1,8,1024,4096,200,493.40421745690895,0.4053471634896733,1652.0024984812508,146727.09830617363,407296.980134746,34.322684053467015,35.4046784735308,287278.48950512114,469031.98543780204
4P1D,4,1,8,4096,1024,200,193.12601666165634,1.0355932538617332,1055.150432460912,56887.749441848726,152581.92773442462,49.711439856474136,57.05986717924768,107742.55241502178,168755.09821031376
4P1D,4,1,8,4096,4096,200,800.6769711193588,0.2497886253933305,1018.0197875061532,256953.05661682095,707654.6793164468,56.30701137837543,59.414891314730234,487530.2682112684,776306.0526680163
4P1D,4,1,8,8192,1024,200,339.3992843215045,0.5892764340968526,600.4049195547717,124134.44528879964,278250.02864987333,76.1444302376948,95.64812781208066,202030.1974219614,316640.57061765174
4P1D,4,1,8,8192,4096,200,1279.007853396753,0.15637120559412174,637.294757678983,499090.97716096643,1094385.805042995,62.16370298806788,68.59277444325623,753651.3408971045,1256249.1396929005
4P1D,4,1,8,16384,1024,200,793.0633306088167,0.25218666943844764,256.94921469079276,352887.6827835957,728538.4143075147,89.94707641414065,121.48771170027928,444903.5419552616,769505.9295106899
4P1D,4,1,8,16384,4096,200,2379.773992255362,0.08404159413913746,342.51361795390824,1049919.5936686695,2162215.445364713,68.12968210724672,76.0834722007501,1328910.6418978446,2356611.6712268945
4P1D,4,1,64,1024,1024,200,90.97929283669691,2.1983024242559193,2239.817365537992,26847.710103773676,73875.00047729691,23.978145097276887,25.211005429545647,51377.352538287945,87057.9280302791
4P1D,4,1,64,1024,4096,200,490.1517083108299,0.40803693348176584,1662.9647233282737,154856.62141652487,429297.1518466726,34.19163405052619,35.25487185915256,294871.36285342963,486230.3435044121
4P1D,4,1,64,4096,1024,200,193.12601666165634,1.0355932538617332,1055.150432460912,67300.202895571,173537.63769610878,49.711439856474136,57.05986717924768,118155.00586874403,189204.6518552385
4P1D,4,1,64,4096,4096,200,800.6769711193588,0.2497886253933305,1018.0197875061532,267365.5100705432,728610.389278131,56.30701137837543,59.414891314730234,497942.7216649907,796755.6063129411
4P1D,4,1,64,8192,1024,200,339.3992843215045,0.5892764340968526,600.4049195547717,134546.89874252188,299257.7575028919,76.1444302376948,95.64812781208066,212442.65087568364,335679.44510852295
4P1D,4,1,64,8192,4096,200,1279.007853396753,0.15637120559412174,637.294757678983,509503.4306146888,1115393.5338960132,62.16370298806788,68.59277444325623,764063.7943508266,1275288.0141837713
4P1D,4,1,64,16384,1024,200,793.0633306088167,0.25218666943844764,256.94921469079276,363300.1362373179,749546.1431605334,89.94707641414065,121.48771170027928,455315.9954089837,789243.6554715509
4P1D,4,1,64,16384,4096,200,2379.773992255362,0.08404159413913746,342.51361795390824,1060332.0471223916,2183223.174217731,68.12968210724672,76.0834722007501,1339323.095351567,2376003.7021268033
1P8D,1,8,1,1024,1024,200,205.24796513323503,0.9744310978682378,997.8174442170755,63.68359414942924,117.61479040807822,12.335558420506652,12.97155194156153,12682.959858327737,13330.366560774659
1P8D,1,8,1,1024,4096,200,251.26037433965172,0.7959870334732593,3244.065054596105,524.4272532220177,6240.572970109233,14.260938812967703,14.772168455387034,58922.97169232476,61009.7140167574
1P8D,1,8,1,4096,1024,200,207.17657153554862,0.9653601201991258,983.5909460690863,249.04271948513397,683.2482793420129,14.733461156394814,18.59707643786626,15321.373482477029,19233.1661965762
1P8D,1,8,1,4096,4096,200,320.91830560243267,0.6232115666463993,2539.9143201565666,20244.04985312404,62880.16745881546,19.034438620125837,20.626233791847007,98190.07600253935,127891.24044265562
1P8D,1,8,1,8192,1024,200,210.2927217242812,0.9510552641104899,969.0159427732165,597.4202940714622,1848.2384009777302,23.178258919800758,38.596527565204994,24308.779169027635,39895.8667573808
1P8D,1,8,1,8192,4096,200,696.6541713589972,0.2870864888526401,1170.0281624811562,144390.7883516273,405075.9629632085,26.793165576174697,44.78583888409101,254108.8013860627,514448.4518624751
1P8D,1,8,1,16384,1024,200,557.9211076311218,0.35847362156484874,365.2433959081009,145801.9131723785,333403.42915242864,58.34571976535315,83.77430311289842,205489.58449233478,373146.1177257363
1P8D,1,8,1,16384,4096,200,2039.9922434307207,0.09803958845630391,399.562793743378,812215.464491645,1691353.9430468332,56.205783914009565,65.25227803431365,1042378.149619514,1858533.0346457066
1P8D,1,8,8,1024,1024,200,64.29472037185286,3.1106753220682273,3169.4204255254854,9399.02120581381,26758.512841016705,14.850273872799677,16.27876695310598,24590.851377687883,39291.337226880736
1P8D,1,8,8,1024,4096,200,247.20688188327222,0.8090389655674607,3297.2585301443255,60476.66516860402,167657.85528723546,14.852324564109294,15.807896372938293,121296.93425863159,222203.49873830008
1P8D,1,8,8,4096,1024,200,195.74507978642205,1.0217370480944936,1041.032552247758,58292.27923748642,155010.91950147672,50.298781619717374,57.74525419271561,109747.9328344573,171374.1613350795
1P8D,1,8,8,4096,4096,200,803.2960342441237,0.24897421557445346,1014.7006399290744,258357.58641245865,710083.6710834983,56.45373924743468,59.63369290383543,489535.6486307036,778925.1157927812
1P8D,1,8,8,8192,1024,200,326.1405720539073,0.6132325050528895,624.8134009108134,115021.90748683202,264888.8915887094,75.14508432517336,91.01193754067361,191895.3287514844,303381.8583500546
1P8D,1,8,8,8192,4096,200,1268.7714987089842,0.15763279692482565,642.4364046870501,491892.2389488835,1084047.025561659,61.98560807903693,67.13979738743193,745723.3040325397,1246012.7850051315
1P8D,1,8,8,16384,1024,200,633.5242475026691,0.31569430971015416,321.6561967490304,267945.7622683158,569645.7951105965,80.16399510167945,94.6056370430956,349953.5292573339,609966.8464045423
1P8D,1,8,8,16384,4096,200,2225.8454681203557,0.08985349740783785,366.2001750230783,969633.784644224,2008933.3851389366,66.14853590720736,70.4734964397858,1240512.0391842383,2202683.147091888
1P8D,1,8,64,1024,1024,200,65.14339360991616,3.0701501551733084,3128.129940853756,18600.538284910745,48986.20109287354,15.209349050549914,16.598782538459087,34159.70236362331,61222.02880349834
1P8D,1,8,64,1024,4096,200,268.79928436329,0.7440495999598504,3032.3927458763696,78620.2811523747,214648.4712193216,17.030883400802608,17.82301941980223,148361.74867866136,264877.91955687216
1P8D,1,8,64,4096,1024,200,195.74507978642205,1.0217370480944936,1041.032552247758,68704.73269120867,175973.58912131086,50.298781619717374,57.74525419271561,120160.38628817954,191823.71498000424
1P8D,1,8,64,4096,4096,200,803.2960342441237,0.24897421557445346,1014.7006399290744,268770.03986618086,731046.3407033322,56.45373924743468,59.63369290383543,499948.1020844259,799374.669437706
1P8D,1,8,64,8192,1024,200,326.1405720539073,0.6132325050528895,624.8134009108134,125434.36094055431,285896.6204417279,75.14508432517336,91.01193754067361,202307.7822052067,322420.73284092575
1P8D,1,8,64,8192,4096,200,1268.7714987089842,0.15763279692482565,642.4364046870501,502304.6924026057,1105054.7544146776,61.98560807903693,67.13979738743193,756135.757486262,1265051.6594960024
1P8D,1,8,64,16384,1024,200,633.5242475026691,0.31569430971015416,321.6561967490304,278358.2157220381,590653.5239636151,80.16399510167945,94.6056370430956,360365.98271105613,629704.5723654034
1P8D,1,8,64,16384,4096,200,2225.8454681203557,0.08985349740783785,366.2001750230783,980046.2380979464,2029941.113991955,66.14853590720736,70.4734964397858,1250924.4926379607,2222075.177991797
8P1D,8,1,1,1024,1024,200,206.4955962574216,0.9685436572249025,991.7887049983002,63.181543948137175,99.91805132156358,15.00064223648617,16.290616620359966,15408.838551873492,16722.424887141864
8P1D,8,1,1,1024,4096,200,498.83626919014125,0.4009331565339049,1634.0131027828427,75656.06265304206,207474.30596030704,33.36617959084441,35.60602643415036,212290.56807754995,310178.7061227697
8P1D,8,1,1,4096,1024,200,220.23900563181394,0.9081043542956754,925.2539050265492,246.7031867369577,610.9274677903657,38.07502762163873,46.04122552976796,39197.45644367338,47422.57184656288
8P1D,8,1,1,4096,4096,200,807.2433211686149,0.24775677265495086,1009.7389208745686,182838.87066135314,503007.33556408616,56.177721872638,59.85946886057514,412886.6417298058,619261.3905627234
8P1D,8,1,1,8192,1024,200,353.22705535486506,0.5662080437158828,576.9008826214573,47921.0701981462,126814.04416044292,88.88182144738813,102.05743854263585,138847.17353882425,179205.04794972978
8P1D,8,1,1,8192,4096,200,1286.0937271806827,0.15550966136692937,633.7835126424548,419447.17764029425,942514.5834198579,63.7736475857936,69.98019374997882,680600.2645041188,1109282.0901860339
8P1D,8,1,1,16384,1024,200,793.0633306088167,0.25218666943844764,256.94921469079276,269588.0551538176,561101.0983148885,89.94707641414065,121.48771170027928,361603.9143254835,611604.1218238028
8P1D,8,1,1,16384,4096,200,2379.773992255362,0.08404159413913746,342.51361795390824,966619.9660388915,1994778.1293720847,68.12968210724672,76.0834722007501,1245611.0142680667,2201475.424027622
8P1D,8,1,8,1024,1024,200,94.4278458099738,2.118019301239585,2158.0180957434945,19580.601126352696,54859.27995631217,24.807314715797368,25.942472751384265,44958.48408061341,70055.7672331731
8P1D,8,1,8,1024,4096,200,493.4155253648662,0.40533787389868997,1651.9646385209585,146724.7661060171,407308.28804270324,34.32300184719808,35.39922145279991,287277.4586702933,469043.29334575933
8P1D,8,1,8,4096,1024,200,193.12601666165634,1.0355932538617332,1055.150432460912,56887.749441848726,152581.92773442462,49.711439856474136,57.05986717924768,107742.55241502178,168755.09821031376
8P1D,8,1,8,4096,4096,200,800.6769711193588,0.2497886253933305,1018.0197875061532,256953.05661682095,707654.6793164468,56.30701137837543,59.414891314730234,487530.2682112684,776306.0526680163
8P1D,8,1,8,8192,1024,200,339.3992843215045,0.5892764340968526,600.4049195547717,124134.44528879964,278250.02864987333,76.1444302376948,95.64812781208066,202030.1974219614,316640.57061765174
8P1D,8,1,8,8192,4096,200,1279.007853396753,0.15637120559412174,637.294757678983,499090.97716096643,1094385.805042995,62.16370298806788,68.59277444325623,753651.3408971045,1256249.1396929005
8P1D,8,1,8,16384,1024,200,793.0633306088167,0.25218666943844764,256.94921469079276,352887.6827835957,728538.4143075147,89.94707641414065,121.48771170027928,444903.5419552616,769505.9295106899
8P1D,8,1,8,16384,4096,200,2379.773992255362,0.08404159413913746,342.51361795390824,1049919.5936686695,2162215.445364713,68.12968210724672,76.0834722007501,1328910.6418978446,2356611.6712268945
8P1D,8,1,64,1024,1024,200,90.43736706565078,2.2114752617114,2253.2389720288197,26482.155745155655,73336.06428238825,23.885537652341853,24.82868386387901,50917.06076350137,86516.00225923296
8P1D,8,1,64,1024,4096,200,489.6097825397835,0.4084885701476949,1664.8053798511842,154491.0670579067,428758.21565176366,34.16849915036291,35.159361490000684,294411.07107864285,485688.41773336567
8P1D,8,1,64,4096,1024,200,193.12601666165634,1.0355932538617332,1055.150432460912,67300.202895571,173537.63769610878,49.711439856474136,57.05986717924768,118155.00586874403,189204.6518552385
8P1D,8,1,64,4096,4096,200,800.6769711193588,0.2497886253933305,1018.0197875061532,267365.5100705432,728610.389278131,56.30701137837543,59.414891314730234,497942.7216649907,796755.6063129411
8P1D,8,1,64,8192,1024,200,339.3992843215045,0.5892764340968526,600.4049195547717,134546.89874252188,299257.7575028919,76.1444302376948,95.64812781208066,212442.65087568364,335679.44510852295
8P1D,8,1,64,8192,4096,200,1279.007853396753,0.15637120559412174,637.294757678983,509503.4306146888,1115393.5338960132,62.16370298806788,68.59277444325623,764063.7943508266,1275288.0141837713
8P1D,8,1,64,16384,1024,200,793.0633306088167,0.25218666943844764,256.94921469079276,363300.1362373179,749546.1431605334,89.94707641414065,121.48771170027928,455315.9954089837,789243.6554715509
8P1D,8,1,64,16384,4096,200,2379.773992255362,0.08404159413913746,342.51361795390824,1060332.0471223916,2183223.174217731,68.12968210724672,76.0834722007501,1339323.095351567,2376003.7021268033
16P1D,16,1,1,1024,1024,200,206.4955962574216,0.9685436572249025,991.7887049983002,63.181543948137175,99.91805132156358,15.00064223648617,16.290616620359966,15408.838551873492,16722.424887141864
